disc_year,rv_flag,pul_flag,ptv_flag,tran_flag,ast_flag,obm_flag,micro_flag,etv_flag,ima_flag,dkin_flag,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,pl_eqt,pl_ratror,st_teff,sy_dist
1995,1,0,0,0,0,0,0,0,0,0,4.230785,0.0527,,150.009,0.013,,,,5758,15.4614
1995,1,0,0,0,0,0,0,0,0,0,4.231,0.052,,146.2018,0,,,,,15.4614
1995,1,0,0,0,0,0,0,0,0,0,4.23077,0.052,,148.738,0,,,,,15.4614
1996,1,0,0,0,0,0,0,0,0,0,14.6516,0.1134,,255.4,0,,,,5172,12.5855
1996,1,0,0,0,0,0,0,0,0,0,14.65152,0.115227,,263.9785,0.0034,,,,,12.5855
1996,1,0,0,0,0,0,0,0,0,0,14.65126,0.1138,,260.61,0.0159,,,,5250,12.5855
1996,1,0,0,0,0,0,0,0,0,0,14.67,0.115,,249.17872,0.0197,,,,,12.5855
1996,1,0,0,0,0,0,0,0,0,0,14.651,0.1134,,254.25,0.004,,,,5250,12.5855
1996,1,0,0,0,0,0,0,0,0,0,14.648,0.11,,266.9772,0.051,,,,5200,12.5855
1996,1,0,0,0,0,0,0,0,0,0,14.653,0.115,,266.9772,0.02,,,,,12.5855
1996,1,0,0,0,0,0,0,0,0,0,14.65171,0.1162,,267.29369,0.0048,,,,5317.89,12.5855
1996,1,0,0,0,0,0,0,0,0,0,14.6,0.113,,254.25,0,,700,,,12.5855
1996,1,0,0,0,0,0,0,0,0,0,14.647,0.115,,289.21,0.03,,,,,12.5855
1996,1,0,0,0,0,0,0,0,0,0,14.65162,0.115,,261.881,0.014,,,,5250,12.5855
1996,1,0,0,0,0,0,0,0,0,0,14.465314,0.11339,,266.966,0.0023,,,,5250,12.5855
2004,1,0,0,0,0,0,0,0,0,0,43.93,0.24,,68.96911,0.44,,,,,12.5855
2004,1,0,0,0,0,0,0,0,0,0,44.3787,0.238,,52.44,0.053,,,,5250,12.5855
2004,1,0,0,0,0,0,0,0,0,0,44.3827,0.2432,,54.34866,0.048,,,,5317.89,12.5855
2004,1,0,0,0,0,0,0,0,0,0,44.4175,0.241376,,54.4738,0.02,,,,,12.5855
2004,1,0,0,0,0,0,0,0,0,0,44.3989,0.2373,,51.2,0.03,,,,5172,12.5855
2004,1,0,0,0,0,0,0,0,0,0,44.3446,0.24,,53.711,0.086,,,,5250,12.5855
2004,1,0,0,0,0,0,0,0,0,0,44.38,0.237,,52.44,0.07,,,,5250,12.5855
2004,1,0,0,0,0,0,0,0,0,0,44.373,0.23735,,56.6985,0.072,,,,5250,12.5855
2002,1,0,0,0,0,0,0,0,0,0,5370,5.84,,1220.42,0.063,,,,5250,12.5855
2002,1,0,0,0,0,0,0,0,0,0,5218,5.77,,1218.827,0.025,,,,5250,12.5855
2002,1,0,0,0,0,0,0,0,0,0,4909,5.47,,1121.89,0.02,,,,5250,12.5855
2002,1,0,0,0,0,0,0,0,0,0,4545,5.28,,918.49,0.24,,,,,12.5855
2002,1,0,0,0,0,0,0,0,0,0,4825,5.503,,1232.493,0.019,,,,,12.5855
2002,1,0,0,0,0,0,0,0,0,0,4820,5.54,,908.98924,0.139,,,,5317.89,12.5855
2002,1,0,0,0,0,0,0,0,0,0,4867,5.446,,1226.77,0.0269,,,,5250,12.5855
2002,1,0,0,0,0,0,0,0,0,0,5574.2,5.957,,991.6,0.13,,,,5172,12.5855
2002,1,0,0,0,0,0,0,0,0,0,4517.4,5.257,,1243.35096,0.327,,,,,12.5855
2002,1,0,0,0,0,0,0,0,0,0,5360,5.9,,1287.2115,0.16,,,,,12.5855
2004,1,0,0,1,0,0,0,0,0,0,0.737,,1.897,7.74,,,,0.01821,5172,12.5855
2004,1,0,0,1,0,0,0,0,0,0,0.73654582,,1.915,,,2657.83,1831,,5250,12.5855
