hostname,default_flag,discoverymethod,disc_year,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_eqt,sy_dist
55 Cnc,0,Radial Velocity,2004,McDonald Observatory,0.7365437,0.01544,2.08,1958,12.5855
55 Cnc,0,Radial Velocity,2004,McDonald Observatory,0.73654,0.01583,2,,12.5855
55 Cnc,0,Radial Velocity,2007,Multiple Observatories,260.98,0.792,,,12.5855
55 Cnc,0,Radial Velocity,2007,Multiple Observatories,261.2,0.77,,,12.5855
55 Cnc,0,Radial Velocity,2007,Multiple Observatories,260.91,0.7733,,,12.5855
55 Cnc,1,Radial Velocity,2007,Multiple Observatories,259.88,0.7708,,,12.5855
55 Cnc,0,Radial Velocity,2007,Multiple Observatories,262,0.788,,,12.5855
55 Cnc,0,Radial Velocity,2007,Multiple Observatories,260,0.781,,,12.5855
55 Cnc,0,Radial Velocity,2007,Multiple Observatories,260.7,0.775,,,12.5855
6 Lyn,1,Radial Velocity,2008,Okayama Astrophysical Observatory,934.3,2.11,,,54.6599
6 Lyn,0,Radial Velocity,2008,Okayama Astrophysical Observatory,874.774,2.18,,,54.6599
6 Lyn,0,Radial Velocity,2008,Okayama Astrophysical Observatory,899,2.2,,,54.6599
61 Vir,0,Radial Velocity,2009,Multiple Observatories,4.21487,0.04956,,,8.50332
61 Vir,1,Radial Velocity,2009,Multiple Observatories,4.215,0.050201,,,8.50332
61 Vir,1,Radial Velocity,2009,Multiple Observatories,38.021,0.2175,,,8.50332
61 Vir,0,Radial Velocity,2009,Multiple Observatories,38.0957,0.2151,,,8.50332
61 Vir,1,Radial Velocity,2009,Multiple Observatories,123.01,0.476,,,8.50332
7 CMa,0,Radial Velocity,2011,Anglo-Australian Telescope,763,1.9,,,19.8101
7 CMa,1,Radial Velocity,2011,Anglo-Australian Telescope,735.1,1.758,,,19.8101
7 CMa,0,Radial Velocity,2011,Anglo-Australian Telescope,796,1.93,,,19.8101
7 CMa,1,Radial Velocity,2019,Multiple Observatories,996,2.153,,,19.8101
70 Vir,0,Radial Velocity,1996,Lick Observatory,116.6884,0.484,,,17.9011
70 Vir,0,Radial Velocity,1996,Lick Observatory,116.689,0.456,,,17.9011
70 Vir,0,Radial Velocity,1996,Lick Observatory,116.6926,0.481,,,17.9011
70 Vir,0,Radial Velocity,1996,Lick Observatory,116.69335,0.4765,,,17.9011
70 Vir,0,Radial Velocity,1996,Lick Observatory,116.6884,0.48,,,17.9011
70 Vir,1,Radial Velocity,1996,Lick Observatory,116.688,0.481,,,17.9011
75 Cet,1,Radial Velocity,2012,Okayama Astrophysical Observatory,691.9,2.1,,,82.9613
8 UMi,1,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory,93.4,0.49,,,162.552
8 UMi,0,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory,93.4,0.49,,,162.552
81 Cet,0,Radial Velocity,2008,Okayama Astrophysical Observatory,,2.17,,,101.26
81 Cet,1,Radial Velocity,2008,Okayama Astrophysical Observatory,952.7,2.5,,,101.26
91 Aqr,1,Radial Velocity,2013,Lick Observatory,181.4,0.7,,,44.0304
AB Aur,1,Imaging,2022,Subaru Telescope,,93.9,,,162.127
AB Pic,1,Imaging,2005,Paranal Observatory,,260,,,50.0475
AU Mic,0,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),8.463,,,,9.7221
AU Mic,0,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),,,4.027,755,9.7221
AU Mic,0,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),8.463,0.0645,4.07,593,9.7221
AU Mic,0,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),8.46321,,,,9.7221
AU Mic,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),8.4629991,0.0645,,,9.7221
AU Mic,0,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),8.46321,0.066,4.203,,9.7221
AU Mic,0,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),8.4630004,0.0644,4.19,,9.7221
AU Mic,0,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),18.859019,,,,9.7221
AU Mic,0,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),18.858982,0.11,2.79,,9.7221
AU Mic,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),18.858991,0.1101,,,9.7221
AU Mic,0,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),18.859019,0.1101,3.24,454,9.7221
BD+03 2562,1,Radial Velocity,2017,Multiple Observatories,481.9,1.3,,,1070.63
BD+14 4559,1,Radial Velocity,2009,McDonald Observatory,268.94,0.78,,,49.352
BD+14 4559,0,Radial Velocity,2009,McDonald Observatory,268.94,0.777,,,49.352
BD+15 2375,1,Radial Velocity,2016,Roque de los Muchachos Observatory,153.22,0.576,,,768.045
BD+15 2940,1,Radial Velocity,2013,McDonald Observatory,137.48,0.539,,,426.42
BD+20 2457,1,Radial Velocity,2009,McDonald Observatory,379.63,1.05,,,1539.71
BD+20 2457,0,Radial Velocity,2009,McDonald Observatory,379.63,1.45,,,1539.71
BD+20 2457,1,Radial Velocity,2009,McDonald Observatory,621.99,2.01,,,1539.71
BD+20 274,1,Radial Velocity,2012,McDonald Observatory,578.2,1.3,,,1322.51
BD+20 594,0,Transit,2016,K2,41.688644,,2.355,,179.461
BD+20 594,0,Transit,2016,K2,41.6855,0.241,2.23,546,179.461
BD+20 594,1,Transit,2016,K2,41.6855,,2.578,,179.461
BD+45 564,1,Radial Velocity,2021,Haute-Provence Observatory,307.88,0.83,,,53.622
BD+48 738,1,Radial Velocity,2011,McDonald Observatory,392.6,1,,,871.493
BD+48 740,1,Radial Velocity,2018,Multiple Observatories,733,1.7,,,666.589
BD+49 828,1,Radial Velocity,2015,McDonald Observatory,2590,4.2,,,442.042
BD+55 362,1,Radial Velocity,2021,Haute-Provence Observatory,265.59,0.78,,,52.5697
BD+60 1417,1,Imaging,2021,Wide-field Infrared Survey Explorer (WISE) Sat,,1662,14.684,1303,44.9543
BD+63 1405,1,Radial Velocity,2021,Haute-Provence Observatory,1198.48,2.06,,,38.0473
BD-00 4475,1,Radial Velocity,2021,Haute-Provence Observatory,723.2,1.48,,,42.6402
BD-06 1339,1,Radial Velocity,2013,La Silla Observatory,3.8728,0.0428,,,20.2695
BD-06 1339,1,Radial Velocity,2013,La Silla Observatory,125.94,0.435,,,20.2695
BD-08 2823,0,Radial Velocity,2009,La Silla Observatory,5.6,0.056,,,41.3342
BD-08 2823,1,Radial Velocity,2009,La Silla Observatory,5.6,0.06,,,41.3342
BD-08 2823,1,Radial Velocity,2009,La Silla Observatory,237.6,0.68,,,41.3342
BD-10 3166,0,Radial Velocity,2000,W. M. Keck Observatory,3.487,0.046,,,84.4069
BD-10 3166,1,Radial Velocity,2000,W. M. Keck Observatory,3.48777,0.04,,,84.4069
BD-10 3166,0,Radial Velocity,2000,W. M. Keck Observatory,3.487905,0.045,,,84.4069
BD-10 3166,0,Radial Velocity,2000,W. M. Keck Observatory,3.48777,0.0452,,,84.4069
BD-11 4672,0,Radial Velocity,2014,La Silla Observatory,1667,2.28,,,27.1665
BD-11 4672,1,Radial Velocity,2014,La Silla Observatory,1634,2.36,,,27.1665
BD-11 4672,1,Radial Velocity,2020,Roque de los Muchachos Observatory,74.2,0.3,,,27.1665
BD-13 2130,0,Radial Velocity,2007,La Silla Observatory,714.3,2.1,,,925.214
BD-13 2130,1,Radial Velocity,2007,La Silla Observatory,714.29999,1.66,,,925.214
BD-17 63,1,Radial Velocity,2008,La Silla Observatory,655.6,1.34,,,34.4603
BD-17 63,0,Radial Velocity,2008,La Silla Observatory,655.59998,1.34,,,34.4603
CD Cet,1,Radial Velocity,2020,Calar Alto Observatory,2.2907,0.0185,,464,8.60715
CFBDSIR J145829+101343,1,Imaging,2011,W. M. Keck Observatory,10037.5,2.6,,370,
CFHTWIR-Oph 98 A,1,Imaging,2021,Hubble Space Telescope,8040000,200,20.849,1800,
CHXR 73,1,Imaging,2006,Hubble Space Telescope,,210,,,190.374
CI Tau,1,Radial Velocity,2019,Multiple Observatories,8.9891,,,,157.998
COCONUTS-2 A,1,Imaging,2021,NASA Infrared Telescope Facility (IRTF),402000000,7506,12.442,434,10.8864
CT Cha,1,Imaging,2007,Paranal Observatory,,440,24.66,2600,190.72
CoRoT-1,0,Transit,2008,CoRoT,1.5089682,0.02752,19.223,,787.909
CoRoT-1,1,Transit,2008,CoRoT,1.5089557,,16.7,1898,787.909
CoRoT-1,0,Transit,2008,CoRoT,1.50897655,0.0259,15.917,1834,787.909
CoRoT-1,0,Transit,2008,CoRoT,1.5089686,0.02536,17.385,1915,787.909
CoRoT-1,0,Transit,2008,CoRoT,1.5089635,,20.594,2036,787.909
CoRoT-1,0,Transit,2008,CoRoT,1.50896877,,,,787.909
CoRoT-1,0,Transit,2008,CoRoT,1.5089557,0.0261,16.589,,787.909
CoRoT-10,0,Transit,2010,CoRoT,13.2406,0.1055,10.873,,338.386
CoRoT-10,1,Transit,2010,CoRoT,13.2406,0.1055,10.87,600,338.386
CoRoT-10,0,Transit,2010,CoRoT,13.2406,0.106,10.548,647,338.386
CoRoT-11,0,Transit,2010,CoRoT,2.99433,0.044,15.984,1735,655.037
CoRoT-11,0,Transit,2010,CoRoT,2.994325,0.04407,16.029,,655.037
CoRoT-11,1,Transit,2010,CoRoT,2.99433,0.0436,16.03,1657,655.037
CoRoT-11,0,Transit,2010,CoRoT,2.994325,0.04351,15.581,1715,655.037
CoRoT-11,0,Transit,2010,CoRoT,,,,,655.037
CoRoT-12,0,Transit,2010,CoRoT,2.82805268,0.0392,15.065,1417,1126.37
CoRoT-12,0,Transit,2010,CoRoT,2.828042,0.0394,15.132,1410,1126.37
CoRoT-12,0,Transit,2010,CoRoT,2.828042,0.04013,16.141,,1126.37
CoRoT-12,0,Transit,2010,CoRoT,2.828041,,,,1126.37
CoRoT-12,1,Transit,2010,CoRoT,2.828042,0.04016,16.14,1442,1126.37
CoRoT-12,0,Transit,2010,CoRoT,2.82803915,,17.76,1293,1126.37
CoRoT-13,0,Transit,2010,CoRoT,4.03519,0.05107,9.92,,1148.93
CoRoT-13,0,Transit,2010,CoRoT,4.03515,,,,1148.93
CoRoT-13,1,Transit,2010,CoRoT,4.03519,0.051,9.92,1700,1148.93
CoRoT-13,0,Transit,2010,CoRoT,4.03504444,,12.533,1233,1148.93
CoRoT-13,0,Transit,2010,CoRoT,4.03519,0.051,14.034,1432,1148.93
CoRoT-14,0,Transit,2010,CoRoT,1.51214,0.02687,11.411,1936,1744.6
CoRoT-14,0,Transit,2010,CoRoT,1.51214,0.02691,12.218,,1744.6
CoRoT-14,1,Transit,2010,CoRoT,1.51214,0.027,12.22,1952,1744.6
CoRoT-16,0,Transit,2011,CoRoT,5.35227,0.0618,13.115,,732.409
CoRoT-16,1,Transit,2011,CoRoT,5.35227,0.0618,13.11,,732.409
CoRoT-17,1,Transit,2011,CoRoT,3.7681,0.0461,11.43,1626,1176.12
CoRoT-17,0,Transit,2011,CoRoT,3.7681,0.0481,11.287,1610,1176.12
CoRoT-17,0,Transit,2011,CoRoT,3.7681,0.0481,11.433,,1176.12
CoRoT-18,0,Transit,2011,CoRoT,1.9000769,,,,764.889
CoRoT-18,0,Transit,2011,CoRoT,1.9000693,0.0295,14.684,,764.889
CoRoT-18,0,Transit,2011,CoRoT,1.90009,0.0288,12.846,1487,764.889
CoRoT-18,0,Transit,2011,CoRoT,1.9000693,0.0286,14.022,1490,764.889
